"","X","GLOBAL.UNIQUE.IDENTIFIER","LAST.EDITED.DATE","TAXONOMIC.ORDER","CATEGORY","COMMON.NAME","SCIENTIFIC.NAME","SUBSPECIES.COMMON.NAME","SUBSPECIES.SCIENTIFIC.NAME","OBSERVATION.COUNT","BREEDING.BIRD.ATLAS.CODE","BREEDING.BIRD.ATLAS.CATEGORY","AGE.SEX","COUNTRY","COUNTRY.CODE","STATE","STATE.CODE","COUNTY","COUNTY.CODE","IBA.CODE","BCR.CODE","USFWS.CODE","ATLAS.BLOCK","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","LATITUDE","LONGITUDE","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","PROTOCOL.CODE","PROJECT.CODE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","HAS.MEDIA","APPROVED","REVIEWED","REASON","TRIP.COMMENTS","SPECIES.COMMENTS","NSPECIES","R_AMERIC"
"2054",2675199,"URN:CornellLabOfOrnithology:EBIRD:OBS443849745","12:08.0",11337,"species","American Kestrel","Falco sparverius","","","1","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Cond. Dubai","L5082016","P",-29.735278,-50.0159669,2016-11-06,"","obsr533243","S32550228","Incidental","P20","EBIRD",NA,NA,NA,3,0,"G2630789",0,1,0,NA,"sunny","close to the V. chilensis chicks, and being repelled by the adult ones",7,0
"2055",2675201,"URN:CornellLabOfOrnithology:EBIRD:OBS532269318","12:08.0",11337,"species","American Kestrel","Falco sparverius","","","1","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Cond. Dubai","L5082016","P",-29.735278,-50.0159669,2016-11-06,"","obsr959843","S39143131","Incidental","P20","EBIRD",NA,NA,NA,3,0,"G2630789",0,1,0,NA,"sunny","close to the V. chilensis chicks, and being repelled by the adult ones",7,0
"2056",2675202,"URN:CornellLabOfOrnithology:EBIRD:OBS443724481","26:26.0",11337,"species","American Kestrel","Falco sparverius","","","1","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Entre Maquiné e Capão da Canoa","L5067808","P",-29.773034,-50.10626,2016-11-06,"18:00:00","obsr519819","S32596766","Incidental","P20","EBIRD",NA,NA,NA,1,0,"G2041059",0,1,0,NA,"","",34,0
"2057",2675203,"URN:CornellLabOfOrnithology:EBIRD:OBS440652527","20:10.0",5565,"species","American Oystercatcher","Haematopus palliatus","","","162","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"BR-State of Rio Grande do Sul-Tavares - -31.278x-50.94 - Nov 5, 2016 19:31","L5060898","P",-31.278259,-50.940359,2016-11-05,"10:12:00","obsr431534","S32384297","Traveling","P22","EBIRD_BRA",180,12,NA,2,1,"",0,1,0,NA,"Praia mais barra contagem<br>Submitted from eBird Android 1.3","",31,0
"2058",2675204,"URN:CornellLabOfOrnithology:EBIRD:OBS630569007","32:29.0",5565,"species","American Oystercatcher","Haematopus palliatus","","","1","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"PN Lagoa do Peixe--Mostardas Entrance","L683785","H",-31.1137977,-50.8565712,2016-11-29,"","obsr958176","S46511033","Historical","P62","EBIRD_BRA",NA,NA,NA,5,1,"",1,1,0,NA,"Observação realizado em cia de minha mãe Diná Galdino e dos amigos Ronaldo Garcia e Linderberg Caranha. Guiados pelo amigo Flávio Ronaldo.","",10,0
"2059",2675205,"URN:CornellLabOfOrnithology:EBIRD:OBS440291978","59:02.0",5565,"species","American Oystercatcher","Haematopus palliatus","","","10","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"PN Lagoa do Peixe--Mostardas Entrance","L683785","H",-31.1137977,-50.8565712,2016-11-03,"18:00:00","obsr431534","S32358331","Traveling","P22","EBIRD",120,2,NA,1,1,"",0,1,0,NA,"","",55,0
"2060",2675206,"URN:CornellLabOfOrnithology:EBIRD:OBS444281251","44:27.0",5565,"species","American Oystercatcher","Haematopus palliatus","","","2","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Lagoa dos Patos Tavares","L5093792","P",-31.2791493,-51.1569035,2016-11-16,"","obsr521961","S32635621","Incidental","P20","EBIRD",NA,NA,NA,NA,0,"",0,1,0,NA,"","sin manchas blancas en remeras primarias.",1,0
"2061",2675207,"URN:CornellLabOfOrnithology:EBIRD:OBS444218110","32:31.0",5565,"species","American Oystercatcher","Haematopus palliatus","","","1","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Praia Itapeva","L5093077","P",-29.3898152,-49.7612536,2016-11-13,"","obsr521961","S32631109","Incidental","P20","EBIRD",NA,NA,NA,NA,0,"",0,1,0,NA,"","",5,0
"2062",2675208,"URN:CornellLabOfOrnithology:EBIRD:OBS440380952","36:59.0",5565,"species","American Oystercatcher","Haematopus palliatus","","","40","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Barra da Lagoa de Peixe","L683805","H",-31.3573017,-51.0391331,2016-11-04,"10:30:00","obsr431534","S32364841","Traveling","P22","EBIRD",120,2,NA,2,1,"",0,1,0,NA,"","",59,0
"2063",2675212,"URN:CornellLabOfOrnithology:EBIRD:OBS444288012","11:57.0",5580,"species","American Golden-Plover","Pluvialis dominica","","","X","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Reserva do Taim (RS 471)","L5093012","P",-32.586354,-52.564044,2016-11-17,"13:40:00","obsr521961","S32636129","Traveling","P22","EBIRD",30,20,NA,2,0,"",0,1,0,NA,"","",28,0
