X,id,MUNI,SITE,STATE,NSPECIES,NPIC,NSONG,RHAMERICANA
14905,4306452,DOIS LAJEADOS,RS,RIO GRANDE DO SUL,50,39,17,0
14894,4306502,DOM FELICIANO,RS,RIO GRANDE DO SUL,49,40,15,0
14832,4306601,DOM PEDRITO,RS,RIO GRANDE DO SUL,575,731,3,1
14872,4306551,DOM PEDRO DE ALCANTARA,RS,RIO GRANDE DO SUL,142,210,21,0
14807,4306700,DONA FRANCISCA,RS,RIO GRANDE DO SUL,92,98,9,0
14806,4306734,DOUTOR MAURICIO CARDOSO,RS,RIO GRANDE DO SUL,1,1,0,0
14803,4306759,DOUTOR RICARDO,RS,RIO GRANDE DO SUL,3,5,0,0
14766,4306767,ELDORADO DO SUL,RS,RIO GRANDE DO SUL,429,539,15,0
14748,4306809,ENCANTADO,RS,RIO GRANDE DO SUL,71,93,0,0
14705,4306908,ENCRUZILHADA DO SUL,RS,RIO GRANDE DO SUL,1348,1381,438,1
14704,4306924,ENGENHO VELHO,RS,RIO GRANDE DO SUL,1,1,0,0
14681,4306957,ENTRE RIOS DO SUL,RS,RIO GRANDE DO SUL,2,2,0,0
14684,4306932,ENTRE-IJUIS,RS,RIO GRANDE DO SUL,120,136,14,0
14679,4306973,EREBANGO,RS,RIO GRANDE DO SUL,4,4,1,0
14648,4307005,ERECHIM,RS,RIO GRANDE DO SUL,246,270,43,0
14618,4307054,ERNESTINA,RS,RIO GRANDE DO SUL,250,233,40,0
14593,4307203,ERVAL GRANDE,RS,RIO GRANDE DO SUL,1,1,0,0
14579,4307302,ERVAL SECO,RS,RIO GRANDE DO SUL,266,288,50,0
14559,4307401,ESMERALDA,RS,RIO GRANDE DO SUL,135,156,0,1
14553,4307450,ESPERANCA DO SUL,RS,RIO GRANDE DO SUL,5,5,1,0
14537,4307500,ESPUMOSO,RS,RIO GRANDE DO SUL,157,183,4,0
14531,4307559,ESTACAO,RS,RIO GRANDE DO SUL,10,11,0,0
14508,4307609,ESTANCIA VELHA,RS,RIO GRANDE DO SUL,72,84,0,0
14489,4307708,ESTEIO,RS,RIO GRANDE DO SUL,42,45,0,0
14461,4307807,ESTRELA,RS,RIO GRANDE DO SUL,183,190,24,0
14453,4307815,ESTRELA VELHA,RS,RIO GRANDE DO SUL,61,77,2,0
14449,4307831,EUGENIO DE CASTRO,RS,RIO GRANDE DO SUL,8,10,0,0
14430,4307864,FAGUNDES VARELA,RS,RIO GRANDE DO SUL,200,192,66,0
14401,4307906,FARROUPILHA,RS,RIO GRANDE DO SUL,103,109,3,0
14382,4308003,FAXINAL DO SOTURNO,RS,RIO GRANDE DO SUL,148,162,10,0
14379,4308052,FAXINALZINHO,RS,RIO GRANDE DO SUL,4,4,0,0
14369,4308078,FAZENDA VILANOVA,RS,RIO GRANDE DO SUL,19,24,2,0
14350,4308102,FELIZ,RS,RIO GRANDE DO SUL,84,95,3,0
14309,4308201,FLORES DA CUNHA,RS,RIO GRANDE DO SUL,303,319,55,0
14294,4308300,FONTOURA XAVIER,RS,RIO GRANDE DO SUL,48,53,3,0
14276,4308409,FORMIGUEIRO,RS,RIO GRANDE DO SUL,74,90,1,0
14265,4308433,FORQUETINHA,RS,RIO GRANDE DO SUL,18,19,0,0
14254,4308458,FORTALEZA DOS VALOS,RS,RIO GRANDE DO SUL,50,55,4,0
14225,4308508,FREDERICO WESTPHALEN,RS,RIO GRANDE DO SUL,368,512,7,0
14196,4308607,GARIBALDI,RS,RIO GRANDE DO SUL,129,135,11,0
14189,4308656,GARRUCHOS,RS,RIO GRANDE DO SUL,48,68,4,1
14183,4308706,GAURAMA,RS,RIO GRANDE DO SUL,11,14,0,0
14164,4308805,GENERAL CAMARA,RS,RIO GRANDE DO SUL,65,77,3,0
14154,4308854,GENTIL,RS,RIO GRANDE DO SUL,66,63,6,0
14126,4308904,GETULIO VARGAS,RS,RIO GRANDE DO SUL,326,282,151,0
14110,4309001,GIRUA,RS,RIO GRANDE DO SUL,29,34,0,0
14093,4309050,GLORINHA,RS,RIO GRANDE DO SUL,92,97,4,0
14048,4309100,GRAMADO,RS,RIO GRANDE DO SUL,1275,1995,76,0
14039,4309159,GRAMADO XAVIER,RS,RIO GRANDE DO SUL,1,1,0,0
13995,4309209,GRAVATAI,RS,RIO GRANDE DO SUL,471,580,20,0
13989,4309258,GUABIJU,RS,RIO GRANDE DO SUL,7,10,0,0
13965,4309308,GUAIBA,RS,RIO GRANDE DO SUL,104,113,0,0
13940,4309407,GUAPORE,RS,RIO GRANDE DO SUL,184,190,17,0
13932,4309506,GUARANI DAS MISSOES,RS,RIO GRANDE DO SUL,39,43,0,0
13909,4309555,HARMONIA,RS,RIO GRANDE DO SUL,407,520,59,0
14596,4307104,HERVAL,RS,RIO GRANDE DO SUL,149,175,5,1
13905,4309571,HERVEIRAS,RS,RIO GRANDE DO SUL,2,2,0,0
13901,4309605,HORIZONTINA,RS,RIO GRANDE DO SUL,20,21,0,0
13879,4309654,HULHA NEGRA,RS,RIO GRANDE DO SUL,122,127,4,1
13876,4309704,HUMAITA,RS,RIO GRANDE DO SUL,1,1,0,0
13870,4309753,IBARAMA,RS,RIO GRANDE DO SUL,31,32,5,0
13862,4309803,IBIACA,RS,RIO GRANDE DO SUL,48,57,0,0
13860,4309902,IBIRAIARAS,RS,RIO GRANDE DO SUL,5,8,0,0
13858,4309951,IBIRAPUITA,RS,RIO GRANDE DO SUL,13,12,1,0
13830,4310009,IBIRUBA,RS,RIO GRANDE DO SUL,135,148,13,1
13813,4310108,IGREJINHA,RS,RIO GRANDE DO SUL,92,112,5,0
13774,4310207,IJUI,RS,RIO GRANDE DO SUL,334,359,45,1
13767,4310306,ILOPOLIS,RS,RIO GRANDE DO SUL,18,22,0,0
13728,4310330,IMBE,RS,RIO GRANDE DO SUL,480,661,1,0
13711,4310363,IMIGRANTE,RS,RIO GRANDE DO SUL,92,93,11,0
13703,4310405,INDEPENDENCIA,RS,RIO GRANDE DO SUL,21,22,0,0
13687,4310439,IPE,RS,RIO GRANDE DO SUL,38,35,6,0
13667,4310462,IPIRANGA DO SUL,RS,RIO GRANDE DO SUL,163,137,51,1
13650,4310504,IRAI,RS,RIO GRANDE DO SUL,168,260,14,0
13614,4310538,ITAARA,RS,RIO GRANDE DO SUL,1298,2728,41,0
13610,4310553,ITACURUBI,RS,RIO GRANDE DO SUL,5,5,0,0
13605,4310579,ITAPUCA,RS,RIO GRANDE DO SUL,9,13,0,0
13572,4310603,ITAQUI,RS,RIO GRANDE DO SUL,214,269,17,1
13532,4310652,ITATI,RS,RIO GRANDE DO SUL,437,543,10,0
13522,4310751,IVORA,RS,RIO GRANDE DO SUL,21,24,0,0
13490,4310801,IVOTI,RS,RIO GRANDE DO SUL,220,263,4,0
13488,4310850,JABOTICABA,RS,RIO GRANDE DO SUL,1,1,0,0
13483,4310876,JACUIZINHO,RS,RIO GRANDE DO SUL,61,71,3,1
13445,4311007,JAGUARAO,RS,RIO GRANDE DO SUL,1143,2773,6,1
13428,4311106,JAGUARI,RS,RIO GRANDE DO SUL,46,51,0,0
13393,4311122,JAQUIRANA,RS,RIO GRANDE DO SUL,410,589,59,0
13384,4311130,JARI,RS,RIO GRANDE DO SUL,36,36,1,0
13373,4311155,JOIA,RS,RIO GRANDE DO SUL,54,58,0,0
13344,4311205,JULIO DE CASTILHOS,RS,RIO GRANDE DO SUL,344,452,2,1
13332,4311270,LAGOA DOS TRES CANTOS,RS,RIO GRANDE DO SUL,116,109,21,0
13314,4311304,LAGOA VERMELHA,RS,RIO GRANDE DO SUL,67,68,4,1
13339,4311254,LAGOAO,RS,RIO GRANDE DO SUL,17,17,0,0
13278,4311403,LAJEADO,RS,RIO GRANDE DO SUL,608,637,100,0
13243,4311502,LAVRAS DO SUL,RS,RIO GRANDE DO SUL,791,1005,51,1
13238,4311601,LIBERATO SALZANO,RS,RIO GRANDE DO SUL,2,2,0,0
13228,4311627,LINDOLFO COLLOR,RS,RIO GRANDE DO SUL,31,37,0,0
13226,4311643,LINHA NOVA,RS,RIO GRANDE DO SUL,22,11,20,0
13204,4311718,MACAMBARA,RS,RIO GRANDE DO SUL,149,176,1,1
13222,4311700,MACHADINHO,RS,RIO GRANDE DO SUL,31,37,0,0
13188,4311734,MAMPITUBA,RS,RIO GRANDE DO SUL,157,133,58,0
13161,4311759,MANOEL VIANA,RS,RIO GRANDE DO SUL,165,199,10,1
13117,4311775,MAQUINE,RS,RIO GRANDE DO SUL,899,1235,76,1
13114,4311791,MARATA,RS,RIO GRANDE DO SUL,3,3,0,0
13078,4311809,MARAU,RS,RIO GRANDE DO SUL,958,1242,31,0
13066,4311908,MARCELINO RAMOS,RS,RIO GRANDE DO SUL,64,68,8,0
13051,4311981,MARIANA PIMENTEL,RS,RIO GRANDE DO SUL,67,65,5,0
13049,4312005,MARIANO MORO,RS,RIO GRANDE DO SUL,6,6,0,0
13016,4312054,MARQUES DE SOUZA,RS,RIO GRANDE DO SUL,361,446,18,0
12994,4312104,MATA,RS,RIO GRANDE DO SUL,76,95,4,1
12973,4312138,MATO CASTELHANO,RS,RIO GRANDE DO SUL,232,231,82,1
12967,4312153,MATO LEITAO,RS,RIO GRANDE DO SUL,20,27,0,0
12957,4312179,MATO QUEIMADO,RS,RIO GRANDE DO SUL,87,89,6,0
12948,4312203,MAXIMILIANO DE ALMEIDA,RS,RIO GRANDE DO SUL,21,22,0,0
12942,4312252,MINAS DO LEAO,RS,RIO GRANDE DO SUL,33,36,3,0
12940,4312302,MIRAGUAI,RS,RIO GRANDE DO SUL,3,3,0,0
12939,4312351,MONTAURI,RS,RIO GRANDE DO SUL,4,4,2,0
12936,4312377,MONTE ALEGRE DOS CAMPOS,RS,RIO GRANDE DO SUL,5,5,0,0
12911,4312385,MONTE BELO DO SUL,RS,RIO GRANDE DO SUL,122,132,1,0
12880,4312401,MONTENEGRO,RS,RIO GRANDE DO SUL,427,502,24,0
12852,4312427,MORMACO,RS,RIO GRANDE DO SUL,409,587,24,0
12842,4312443,MORRINHOS DO SUL,RS,RIO GRANDE DO SUL,44,63,7,0
12807,4312450,MORRO REDONDO,RS,RIO GRANDE DO SUL,648,1102,45,0
12765,4312476,MORRO REUTER,RS,RIO GRANDE DO SUL,779,1273,128,0
12713,4312500,MOSTARDAS,RS,RIO GRANDE DO SUL,3715,11415,272,1
12685,4312609,MUCUM,RS,RIO GRANDE DO SUL,14,15,0,0
12656,4312617,MUITOS CAPOES,RS,RIO GRANDE DO SUL,200,208,41,1
12626,4312658,NAO-ME-TOQUE,RS,RIO GRANDE DO SUL,449,453,101,0
12625,4312674,NICOLAU VERGUEIRO,RS,RIO GRANDE DO SUL,6,6,0,0
12599,4312708,NONOAI,RS,RIO GRANDE DO SUL,71,82,2,0
12596,4312807,NOVA ARACA,RS,RIO GRANDE DO SUL,25,25,0,0
12578,4312906,NOVA BASSANO,RS,RIO GRANDE DO SUL,59,47,29,0
12575,4312955,NOVA BOA VISTA,RS,RIO GRANDE DO SUL,14,16,0,0
12573,4313003,NOVA BRESCIA,RS,RIO GRANDE DO SUL,13,0,14,0
12570,4313011,NOVA CANDELARIA,RS,RIO GRANDE DO SUL,6,6,0,0
12558,4313037,NOVA ESPERANCA DO SUL,RS,RIO GRANDE DO SUL,31,41,0,0
12547,4313060,NOVA HARTZ,RS,RIO GRANDE DO SUL,55,65,4,0
12541,4313086,NOVA PADUA,RS,RIO GRANDE DO SUL,13,11,2,0
12514,4313102,NOVA PALMA,RS,RIO GRANDE DO SUL,191,218,5,0
12475,4313201,NOVA PETROPOLIS,RS,RIO GRANDE DO SUL,469,591,57,0
12434,4313300,NOVA PRATA,RS,RIO GRANDE DO SUL,403,531,8,0
NA,NA,NOVA RAMADA,RS,RIO GRANDE DO SUL,1,1,0,1
12422,4313359,NOVA ROMA DO SUL,RS,RIO GRANDE DO SUL,24,26,0,0
12398,4313375,NOVA SANTA RITA,RS,RIO GRANDE DO SUL,116,141,0,0
12317,4313490,NOVO BARREIRO,RS,RIO GRANDE DO SUL,31,31,0,0
12379,4313391,NOVO CABRAIS,RS,RIO GRANDE DO SUL,57,73,1,0
12334,4313409,NOVO HAMBURGO,RS,RIO GRANDE DO SUL,544,776,16,0
12322,4313425,NOVO MACHADO,RS,RIO GRANDE DO SUL,5,5,0,0
12321,4313466,NOVO XINGU,RS,RIO GRANDE DO SUL,1,3,0,0
12275,4313508,OSORIO,RS,RIO GRANDE DO SUL,1339,2007,40,1
12269,4313607,PAIM FILHO,RS,RIO GRANDE DO SUL,6,6,0,0
12232,4313656,PALMARES DO SUL,RS,RIO GRANDE DO SUL,322,443,0,1
12194,4313706,PALMEIRA DAS MISSOES,RS,RIO GRANDE DO SUL,1081,1788,74,1
12187,4313805,PALMITINHO,RS,RIO GRANDE DO SUL,18,20,1,0
12156,4313904,PANAMBI,RS,RIO GRANDE DO SUL,217,255,7,0
12131,4313953,PANTANO GRANDE,RS,RIO GRANDE DO SUL,130,146,9,1
12125,4314001,PARAI,RS,RIO GRANDE DO SUL,11,12,0,0
12107,4314027,PARAISO DO SUL,RS,RIO GRANDE DO SUL,87,89,6,0
12089,4314035,PARECI NOVO,RS,RIO GRANDE DO SUL,81,97,8,0
12080,4314050,PAROBE,RS,RIO GRANDE DO SUL,40,55,1,0
12070,4314068,PASSA SETE,RS,RIO GRANDE DO SUL,35,37,2,0
12063,4314076,PASSO DO SOBRADO,RS,RIO GRANDE DO SUL,33,34,0,0
12021,4314100,PASSO FUNDO,RS,RIO GRANDE DO SUL,1206,1839,76,0
12015,4314134,PAULO BENTO,RS,RIO GRANDE DO SUL,4,4,0,0
12012,4314159,PAVERAMA,RS,RIO GRANDE DO SUL,5,5,0,0
