X,id,MUNI,SITE,STATE,NSPECIES,NPIC,NSONG,RHAMERICANA
10488,4318309,SAO GABRIEL,RS,RIO GRANDE DO SUL,1596,2499,139,1
10472,4318408,SAO JERONIMO,RS,RIO GRANDE DO SUL,24,24,1,1
10471,4318424,SAO JOAO DA URTIGA,RS,RIO GRANDE DO SUL,2,2,0,0
10446,4318432,SAO JOAO DO POLESINE,RS,RIO GRANDE DO SUL,143,170,5,0
10442,4318440,SAO JORGE,RS,RIO GRANDE DO SUL,5,7,0,0
10440,4318457,SAO JOSE DAS MISSOES,RS,RIO GRANDE DO SUL,3,4,0,0
10434,4318465,SAO JOSE DO HERVAL,RS,RIO GRANDE DO SUL,15,14,1,0
10431,4318481,SAO JOSE DO HORTENCIO,RS,RIO GRANDE DO SUL,10,12,0,0
10430,4318499,SAO JOSE DO INHACORA,RS,RIO GRANDE DO SUL,1,1,0,0
10390,4318507,SAO JOSE DO NORTE,RS,RIO GRANDE DO SUL,697,1033,9,1
10387,4318606,SAO JOSE DO OURO,RS,RIO GRANDE DO SUL,1,1,0,0
10385,4318614,SAO JOSE DO SUL,RS,RIO GRANDE DO SUL,13,20,4,0
10343,4318622,SAO JOSE DOS AUSENTES,RS,RIO GRANDE DO SUL,555,705,61,0
10296,4318705,SAO LEOPOLDO,RS,RIO GRANDE DO SUL,1473,3107,165,0
10245,4318804,SAO LOURENCO DO SUL,RS,RIO GRANDE DO SUL,657,856,37,1
10223,4318903,SAO LUIZ GONZAGA,RS,RIO GRANDE DO SUL,88,95,1,1
10198,4319000,SAO MARCOS,RS,RIO GRANDE DO SUL,105,142,3,0
10186,4319109,SAO MARTINHO,RS,RIO GRANDE DO SUL,294,299,67,0
10163,4319125,SAO MARTINHO DA SERRA,RS,RIO GRANDE DO SUL,123,142,5,1
10134,4319158,SAO MIGUEL DAS MISSOES,RS,RIO GRANDE DO SUL,289,391,32,1
10129,4319208,SAO NICOLAU,RS,RIO GRANDE DO SUL,8,8,0,0
10091,4319307,SAO PAULO DAS MISSOES,RS,RIO GRANDE DO SUL,447,585,69,0
10088,4319356,SAO PEDRO DA SERRA,RS,RIO GRANDE DO SUL,5,5,0,0
10085,4319364,SAO PEDRO DAS MISSOES,RS,RIO GRANDE DO SUL,18,22,0,0
10082,4319372,SAO PEDRO DO BUTIA,RS,RIO GRANDE DO SUL,8,9,2,0
10061,4319406,SAO PEDRO DO SUL,RS,RIO GRANDE DO SUL,59,65,0,0
10046,4319505,SAO SEBASTIAO DO CAI,RS,RIO GRANDE DO SUL,127,215,0,0
10003,4319604,SAO SEPE,RS,RIO GRANDE DO SUL,602,804,34,1
9996,4319703,SAO VALENTIM,RS,RIO GRANDE DO SUL,34,50,0,0
9992,4319711,SAO VALENTIM DO SUL,RS,RIO GRANDE DO SUL,34,34,0,0
9985,4319737,SAO VALERIO DO SUL,RS,RIO GRANDE DO SUL,56,57,1,0
9980,4319752,SAO VENDELINO,RS,RIO GRANDE DO SUL,33,36,0,0
9961,4319802,SAO VICENTE DO SUL,RS,RIO GRANDE DO SUL,100,110,16,0
9936,4319901,SAPIRANGA,RS,RIO GRANDE DO SUL,233,322,12,0
9901,4320008,SAPUCAIA DO SUL,RS,RIO GRANDE DO SUL,379,525,2,0
9860,4320206,SEBERI,RS,RIO GRANDE DO SUL,10,13,0,0
9856,4320263,SEGREDO,RS,RIO GRANDE DO SUL,24,21,6,0
9853,4320305,SELBACH,RS,RIO GRANDE DO SUL,3,3,0,0
9849,4320321,SENADOR SALGADO FILHO,RS,RIO GRANDE DO SUL,10,10,0,0
9827,4320354,SENTINELA DO SUL,RS,RIO GRANDE DO SUL,178,188,1,0
9815,4320404,SERAFINA CORREA,RS,RIO GRANDE DO SUL,53,27,31,0
9812,4320453,SERIO,RS,RIO GRANDE DO SUL,10,10,0,0
9790,4320503,SERTAO,RS,RIO GRANDE DO SUL,86,101,1,1
9788,4320552,SERTAO SANTANA,RS,RIO GRANDE DO SUL,2,2,0,0
9785,4320578,SETE DE SETEMBRO,RS,RIO GRANDE DO SUL,5,5,0,0
9784,4320602,SEVERIANO DE ALMEIDA,RS,RIO GRANDE DO SUL,1,1,0,0
9750,4320651,SILVEIRA MARTINS,RS,RIO GRANDE DO SUL,486,607,86,0
9725,4320677,SINIMBU,RS,RIO GRANDE DO SUL,188,232,53,0
9702,4320701,SOBRADINHO,RS,RIO GRANDE DO SUL,273,316,0,0
9667,4320800,SOLEDADE,RS,RIO GRANDE DO SUL,359,457,28,1
9664,4320859,TABAI,RS,RIO GRANDE DO SUL,3,2,1,0
9643,4321006,TAPERA,RS,RIO GRANDE DO SUL,88,117,1,0
9611,4321105,TAPES,RS,RIO GRANDE DO SUL,300,366,1,0
9576,4321204,TAQUARA,RS,RIO GRANDE DO SUL,243,241,40,0
9564,4321303,TAQUARI,RS,RIO GRANDE DO SUL,47,52,5,0
9560,4321329,TAQUARUCU DO SUL,RS,RIO GRANDE DO SUL,5,7,0,0
9515,4321352,TAVARES,RS,RIO GRANDE DO SUL,4117,20053,267,1
9458,4321402,TENENTE PORTELA,RS,RIO GRANDE DO SUL,753,969,63,0
9430,4321436,TERRA DE AREIA,RS,RIO GRANDE DO SUL,186,212,22,0
9402,4321451,TEUTONIA,RS,RIO GRANDE DO SUL,197,215,28,0
9392,4321469,TIO HUGO,RS,RIO GRANDE DO SUL,62,59,5,0
9387,4321477,TIRADENTES DO SUL,RS,RIO GRANDE DO SUL,16,16,0,0
9382,4321493,TOROPI,RS,RIO GRANDE DO SUL,19,20,0,0
9339,4321501,TORRES,RS,RIO GRANDE DO SUL,1078,1503,69,0
9294,4321600,TRAMANDAI,RS,RIO GRANDE DO SUL,1145,1858,30,1
9249,4321626,TRAVESSEIRO,RS,RIO GRANDE DO SUL,293,329,23,0
9244,4321634,TRES ARROIOS,RS,RIO GRANDE DO SUL,21,25,1,0
9209,4321667,TRES CACHOEIRAS,RS,RIO GRANDE DO SUL,497,498,64,0
9179,4321709,TRES COROAS,RS,RIO GRANDE DO SUL,223,266,10,0
9163,4321808,TRES DE MAIO,RS,RIO GRANDE DO SUL,25,29,0,0
9147,4321832,TRES FORQUILHAS,RS,RIO GRANDE DO SUL,70,76,0,0
9146,4321857,TRES PALMEIRAS,RS,RIO GRANDE DO SUL,2,2,0,0
9130,4321907,TRES PASSOS,RS,RIO GRANDE DO SUL,78,80,1,0
9128,4321956,TRINDADE DO SUL,RS,RIO GRANDE DO SUL,5,5,0,0
9095,4322004,TRIUNFO,RS,RIO GRANDE DO SUL,253,254,42,0
9091,4322103,TUCUNDUVA,RS,RIO GRANDE DO SUL,3,4,0,0
9061,4322202,TUPANCIRETA,RS,RIO GRANDE DO SUL,259,308,11,1
9058,4322251,TUPANDI,RS,RIO GRANDE DO SUL,10,10,0,0
9040,4322301,TUPARENDI,RS,RIO GRANDE DO SUL,169,193,5,0
9029,4322327,TURUCU,RS,RIO GRANDE DO SUL,22,20,2,0
9014,4322343,UBIRETAMA,RS,RIO GRANDE DO SUL,91,99,0,0
9012,4322350,UNIAO DA SERRA,RS,RIO GRANDE DO SUL,3,3,0,0
9003,4322376,UNISTALDA,RS,RIO GRANDE DO SUL,59,68,0,0
8962,4322400,URUGUAIANA,RS,RIO GRANDE DO SUL,2894,4782,649,1
8921,4322509,VACARIA,RS,RIO GRANDE DO SUL,209,243,17,1
8910,4322533,VALE DO SOL,RS,RIO GRANDE DO SUL,1,1,0,0
8907,4322541,VALE REAL,RS,RIO GRANDE DO SUL,4,4,0,0
8911,4322525,VALE VERDE,RS,RIO GRANDE DO SUL,44,51,1,0
8871,4322608,VENANCIO AIRES,RS,RIO GRANDE DO SUL,374,390,42,0
8858,4322707,VERA CRUZ,RS,RIO GRANDE DO SUL,287,360,14,0
8830,4322806,VERANOPOLIS,RS,RIO GRANDE DO SUL,183,200,11,0
8811,4322855,VESPASIANO CORREA,RS,RIO GRANDE DO SUL,40,45,4,0
8809,4322905,VIADUTOS,RS,RIO GRANDE DO SUL,3,3,0,0
8766,4323002,VIAMAO,RS,RIO GRANDE DO SUL,1487,2297,61,1
8749,4323101,VICENTE DUTRA,RS,RIO GRANDE DO SUL,59,53,17,0
8734,4323200,VICTOR GRAEFF,RS,RIO GRANDE DO SUL,173,186,19,0
8725,4323309,VILA FLORES,RS,RIO GRANDE DO SUL,25,22,5,0
8723,4323358,VILA LANGARO,RS,RIO GRANDE DO SUL,21,1,22,0
8714,4323408,VILA MARIA,RS,RIO GRANDE DO SUL,118,159,1,0
8705,4323457,VILA NOVA DO SUL,RS,RIO GRANDE DO SUL,38,37,2,0
8703,4323507,VISTA ALEGRE,RS,RIO GRANDE DO SUL,4,4,0,0
8698,4323606,VISTA ALEGRE DO PRATA,RS,RIO GRANDE DO SUL,15,11,5,0
8695,4323705,VISTA GAUCHA,RS,RIO GRANDE DO SUL,3,3,0,0
8684,4323754,VITORIA DAS MISSOES,RS,RIO GRANDE DO SUL,33,34,2,0
8676,4323770,WESTFALIA,RS,RIO GRANDE DO SUL,21,24,0,0
8637,4323804,XANGRI-LA,RS,RIO GRANDE DO SUL,436,658,15,0
