;n_estabelecimentos
Nova Santa Rita;139
Novo Cabrais;174
Novo Hamburgo;26
Novo Machado;332
Novo Tiradentes;205
Novo Xingu;157
Novo Barreiro;335
Osório;76
Paim Filho;261
Palmares do Sul;46
Palmeira das Missões;472
Palmitinho;577
Panambi;453
Pantano Grande;64
Paraí;253
Paraíso do Sul;508
Pareci Novo;16
Parobé;74
Passa Sete;348
Passo do Sobrado;226
Passo Fundo;347
Paulo Bento;184
Paverama;194
Pedras Altas;198
Pedro Osório;38
Pejuçara;106
Pelotas;687
Picada Café;50
Pinhal;214
Pinhal da Serra;253
Pinhal Grande;169
Pinheirinho do Vale;378
Pinheiro Machado;328
Pinto Bandeira;79
Pirapó;233
Piratini;623
Planalto;483
Poço das Antas;84
Pontão;185
Ponte Preta;178
Portão;57
Porto Alegre;88
Porto Lucena;505
Porto Mauá;204
Porto Vera Cruz;169
Porto Xavier;483
Pouso Novo;154
Presidente Lucena;45
Progresso;579
Protásio Alves;159
Putinga;340
Quaraí;137
Quatro Irmãos;105
Quevedos;157
Quinze de Novembro;253
Redentora;291
Relvado;187
Restinga Sêca;199
Rio dos Índios;330
Rio Grande;221
Rio Pardo;796
Riozinho;91
Roca Sales;333
Rodeio Bonito;264
Rolador;335
Rolante;325
Ronda Alta;395
Rondinha;486
Roque Gonzales;459
Rosário do Sul;530
Sagrada Família;134
Saldanha Marinho;101
Salto do Jacuí;166
Salvador das Missões;192
Salvador do Sul;85
Sananduva;766
Santa Bárbara do Sul;151
Santa Cecília do Sul;181
Santa Clara do Sul;294
Santa Cruz do Sul;926
Santa Maria;573
Santa Maria do Herval;168
Santa Margarida do Sul;109
Santana da Boa Vista;471
Sant'Ana do Livramento;587
Santa Rosa;721
Santa Tereza;83
Santa Vitória do Palmar;59
Santiago;186
Santo Ângelo;575
Santo Antônio do Palma;220
Santo Antônio da Patrulha;803
Santo Antônio das Missões;507
Santo Antônio do Planalto;65
Santo Augusto;245
Santo Cristo;980
Santo Expedito do Sul;257
São Borja;301
São Domingos do Sul;108
São Francisco de Assis;423
São Francisco de Paula;424
São Gabriel;653
São Jerônimo;322
São João da Urtiga;283
São João do Polêsine;56
São Jorge;202
São José das Missões;149
São José do Herval;92
São José do Hortêncio;51
São José do Inhacorá;248
São José do Norte;110
São José do Ouro;296
São José do Sul;29
São José dos Ausentes;130
São Leopoldo;19
São Lourenço do Sul;1263
São Luiz Gonzaga;372
São Marcos;86
São Martinho;287
São Martinho da Serra;273
São Miguel das Missões;310
São Nicolau;274
São Paulo das Missões;724
São Pedro da Serra;59
São Pedro das Missões;120
São Pedro do Butiá;203
São Pedro do Sul;408
São Sebastião do Caí;60
São Sepé;287
São Valentim;225
São Valentim do Sul;170
São Valério do Sul;81
São Vendelino;39
São Vicente do Sul;218
Sapiranga;73
Sapucaia do Sul;12
Sarandi;383
Seberi;623
Sede Nova;211
Segredo;419
Selbach;196
Senador Salgado Filho;268
Sentinela do Sul;116
Serafina Corrêa;297
Sério;256
Sertão;265
Sertão Santana;157
Sete de Setembro;182
Severiano de Almeida;279
Silveira Martins;110
Sinimbu;819
Sobradinho;276
Soledade;451
Tabaí;131
Tapejara;317
Tapera;128
Tapes;45
Taquara;512
Taquari;163
Taquaruçu do Sul;274
Tavares;85
Tenente Portela;517
Terra de Areia;30
Teutônia;357
Tio Hugo;173
Tiradentes do Sul;631
Toropi;107
Torres;64
Tramandaí;24
Travesseiro;199
Três Arroios;272
Três Cachoeiras;85
Três Coroas;112
Três de Maio;672
Três Forquilhas;83
Três Palmeiras;259
Três Passos;797
Trindade do Sul;273
Triunfo;210
Tucunduva;205
Tunas;357
Tupanci do Sul;140
Tupanciretã;440
Tupandi;93
Tuparendi;389
Turuçu;53
Ubiretama;348
União da Serra;205
Unistalda;102
Uruguaiana;162
Vacaria;308
Vale Verde;17
Vale do Sol;722
Vale Real;27
Vanini;113
Venâncio Aires;1901
Vera Cruz;538
Veranópolis;185
Vespasiano Corrêa;280
Viadutos;346
Viamão;453
Vicente Dutra;347
Victor Graeff;227
Vila Flores;90
Vila Lângaro;184
Vila Maria;278
Vila Nova do Sul;67
Vista Alegre;257
Vista Alegre do Prata;152
Vista Gaúcha;245
Vitória das Missões;414
Westfália;208
Xangri-lá;8
